,Date,Price,Open,High,Low,Vol,Change
0,11/05/2023,52.95,52.2,53.175000000000004,51.975,22.05M,+1.44%
1,10/29/2023,52.2,50.1,52.65,50.025,64.05M,+3.42%
2,10/22/2023,50.475,51.525,51.825,50.025,59.73M,-2.18%
3,10/15/2023,51.6,50.925000000000004,52.875,50.1,74.34M,+1.18%
4,10/08/2023,51.0,49.65,52.275,49.65,69.56M,+3.03%
5,10/01/2023,49.5,50.550000000000004,50.775,49.5,52.50M,-3.51%
6,09/24/2023,51.300000000000004,51.375,52.5,51.15,39.05M,-0.58%
7,09/17/2023,51.6,53.475,53.775,51.225,58.30M,-4.44%
8,09/10/2023,54.0,52.800000000000004,54.225,52.5,77.60M,+2.42%
9,09/03/2023,52.725,54.675000000000004,54.675000000000004,52.2,73.74M,-0.99%
10,08/27/2023,53.25,50.1,53.25,49.800000000000004,68.71M,+5.81%
11,08/20/2023,50.325,49.95,51.525,49.725,51.44M,+1.21%
12,08/13/2023,49.725,50.625,50.925000000000004,49.35,44.60M,-1.78%
13,08/06/2023,50.625,50.775,52.2,50.550000000000004,62.48M,-1.17%
14,07/30/2023,51.225,53.175000000000004,53.4,51.15,69.94M,-3.26%
15,07/23/2023,52.95,52.575,54.300000000000004,51.075,99.64M,+0.43%
16,07/16/2023,52.725,54.9,55.125,52.050000000000004,58.28M,-4.22%
17,07/09/2023,55.050000000000004,52.5,55.050000000000004,51.9,64.00M,+5.01%
18,07/02/2023,52.425000000000004,54.525,55.2,52.35,64.34M,-3.19%
19,06/25/2023,54.15,53.775,55.050000000000004,53.625,51.78M,+0.84%
20,06/18/2023,53.7,53.475,54.15,52.575,56.52M,-0.28%
21,06/11/2023,53.85,54.075,54.300000000000004,53.1,64.73M,-0.28%
22,06/04/2023,54.0,54.525,54.525,52.5,61.41M,-0.28%
23,05/28/2023,54.15,53.475,54.375,52.95,75.68M,+2.70%
24,05/21/2023,52.725,51.300000000000004,52.800000000000004,51.0,64.49M,+2.78%
25,05/14/2023,51.300000000000004,48.075,51.300000000000004,47.925000000000004,65.16M,+6.71%
26,05/07/2023,48.075,49.725,49.725,47.7,50.70M,-1.54%
27,04/30/2023,48.825,49.5,49.725,48.525,32.62M,-0.61%
28,04/23/2023,49.125,48.975,49.425000000000004,47.475,74.34M,-0.30%
29,04/16/2023,49.275,48.75,49.5,48.45,58.22M,+0.92%
30,04/09/2023,48.825,48.6,49.95,48.525,79.72M,+0.15%
31,04/02/2023,48.75,48.0,48.9,46.725,74.46M,+1.56%
32,03/26/2023,48.0,46.95,48.0,46.5,61.96M,+1.59%
33,03/19/2023,47.25,45.825,47.475,45.075,59.57M,+2.77%
34,03/12/2023,45.975,44.925000000000004,45.975,44.25,57.67M,+3.03%
35,03/05/2023,44.625,45.825,46.2,44.325,64.26M,-1.65%
36,02/26/2023,45.375,45.6,46.35,45.15,46.54M,-1.31%
37,02/19/2023,45.975,47.175000000000004,47.25,45.75,55.39M,-2.08%
38,02/12/2023,46.95,47.175000000000004,47.925000000000004,46.5,57.31M,-0.32%
39,02/05/2023,47.1,47.1,47.475,46.2,63.57M,-1.57%
40,01/29/2023,47.85,48.675000000000004,48.675000000000004,45.75,102.41M,-1.24%
41,01/22/2023,48.45,47.625,48.75,47.25,48.19M,+4.53%
42,01/15/2023,46.35,45.975,46.725,44.925000000000004,52.99M,+1.64%
43,01/08/2023,45.6,44.775,45.9,44.7,73.91M,+3.05%
44,01/01/2023,44.25,41.625,44.550000000000004,40.875,76.11M,+6.69%
45,12/25/2022,41.475,43.5,43.800000000000004,41.475,42.68M,-4.82%
46,12/18/2022,43.575,44.625,44.925000000000004,43.275,45.79M,-2.35%
47,12/11/2022,44.625,44.925000000000004,45.45,43.725,45.86M,-1.49%
48,12/04/2022,45.300000000000004,45.675000000000004,45.825,43.875,62.56M,0.00%
49,11/27/2022,45.300000000000004,45.375,47.4,44.85,63.52M,-0.98%
50,11/20/2022,45.75,46.050000000000004,46.35,45.225,41.98M,-1.29%
51,11/13/2022,46.35,47.175000000000004,47.175000000000004,45.975,65.71M,-1.75%
